,Date Submitted,Date/Time,Short Description,Location of Event,Long Description,Attachments
,,of Event,,,,
,,9:31PM,,,,
14,6/6/2018,6/5/2018,"{jpg}Strange object I was able to photograph in the sky 5th of May 2018 around 9:30 pm in front of my house. This phenomenon looked like a brightly shining star from a distance. The object was rounded up at close range, the surface was not smooth, pink in","Lake in the Hills, IL, US",,DSC05360super.jpg
,,9:30PM,,,,026jeszczelepsze.jpg
,,,,,,023dobre.jpg
,,,,,,DSC05361.JPG
,,,,,,021super.jpg
15,6/6/2018,6/5/2018,{jpg} 4 dim lights transparent triangle quiet,"Oak lawn, IL, US",,
,,9:34PM,,,,
16,6/6/2018,6/4/2018,"{jpg} Noticed in a picture {Black elongated object, (djs)}","Galesburg , IL, US",,23A1EFEEDB67490BB3C752D675D9D1E5.jpeg
,,5:30PM,,,,
17,6/4/2018,5/30/2018,"{jpg} I saw two objects in the west, one was triangular and the other was a single light. My son saw them after I called him and he said they were both triangular.","Pana, IL, US",,
,,10:30PM,,,,
18,6/1/2018,6/1/2018,{td} Two objects moving overhead to southwest,"Plainfield, IL, US",,
,,7:00PM,,,,
19,5/31/2018,5/19/2018,{td} It was humming like a large jet,"Park Ridge, IL, US",,
,,11:15PM,,,,
20,5/25/2018,5/24/2018,{rjl} Bright light heading towards the Northern Star faded and re-appeared multiple times,"Joliet, IL, US",,C0383C3199F6471C8A6C8A8D6E641553.jpeg
,,9:35PM,,,,
21,5/24/2018,5/24/2018,"{rjl} Witnessed Object above cities north side, then object moved above city","Chicago, IL, US",,
,,7:05AM,,,,
22,5/23/2018,5/22/2018,{rjl} Multiple white spheres hovering around moon on a crystal clear evening. They appeared and disappeared over seven minutes until they were gone.,"Montgomery, IL, US",,D30F7E4CE4F54276B4F7FDEFBDE1DE74.jpeg
,,12:00AM,,,,E4706F1825AD4567B6880D444BDEE265.jpeg
,,,,,,2594D5FDB11744DAAB55B24192D892FE.jpeg
,,,,,,3D91122129CA471BB569C5F5AF37AAA4.jpeg
,,,,,,66445727DB3C49648DA9879223BFAD84.jpeg
,,,,,,8C046694B4954B12B6BE2C5BC6AE0D1B.jpeg
,,,,,,1B331F05C7A24D95A13A46A571498028.jpeg
,,,,,,0934CE97AE844EA696A8FB36B5A9B03B.MOV
23,5/20/2018,5/18/2018,"{rjl} all what you can see in photo, it was 2 of those with distance between each other 1-2 mile.","ElkGrove village, IL, US",,5CB350E049BF4DE192C83F349DDAA548.jpeg
,,4:30AM,,,,CA2EF8EC98A44F09ADF3F4B47AABCC85.jpeg
,,,,,,21BF88EF40E24D0596838034771CAA4A.jpeg
,,,,,,0FEF17295386428187B00D6A12C4725C.jpeg
,,,,,,3E39CB70E09C41488112E85605D5F23E.jpeg
24,5/11/2018,5/6/2018,{td} LOW flying HUGE White fireball traveling E-W 2am Sunday morning (Eta meteor shower weekend) no meteors seen.,"Crete, IL, US",,CE36CC46DA9D49038D0E1042FCFCDF01.jpeg
,,2:06AM,,,,845AC39A0D564AC4A2A29B0309A8E346.jpeg
25,4/20/2018,4/19/2018,{cak} It look tall but like a half circle. It was so shinny it looked like it just glowed chrome,"canton, IL, US",,
,,3:20PM,,,,
26,4/16/2018,4/7/2018,{cak} I was thinking I would really like to see a UFO while reading about CSETI. Something in my mind said,"Rockford, IL, US",,
,,12:00AM,,,,
27,4/5/2018,4/3/2018,"{jpg} Noticed out the window, assumed they were planes crossing paths at first. Notice she they weren’t flying, but hovering. The top object acended higher. They both went behind the clouds, then remained in then same spot hovering.","Lockport, IL, US",,4CA489C8F4B242E68C4D5B330296BB25.jpeg
,,4:00AM,,,,FC0E274329D1442F8BF0EEDC60E2D7A0.jpeg
28,3/30/2018,3/30/2018,{td} Bright but slow flash of light - hovering android moves in random directions,"Geneva , IL, US",,
,,12:00AM,,,,
29,3/23/2018,3/16/2018,"{rjl} Starlike object darts in the sky, SE path stops abruptly then moves slowly back and forth with a bright light that grows dim until communicates with me telepathically.","Johnston City , IL, US",,
,,2:43AM,,,,
30,3/22/2018,3/22/2018,"{rjl} I noticed this object near the moon, it was moving north/northeast then stopped and started moving south/southeast. It eventually disappeared, it was very slow moving.","Bolingbrook, IL, US",,image1.jpeg
,,3:30PM,,,,
31,3/12/2018,2/10/2018,{cak} Sighting of hovering UFO in Bloomingdales IL,"New lenox, IL, US",,97F6CFA923EA4B488AA7ED6B1263E033.jpeg
,,3:00AM,,,,
32,3/10/2018,3/10/2018,"{jpg} Lights/orbs hovering, changing direction and disappeared","Roscoe, IL, US",,
,,7:05PM,,,,
33,3/8/2018,3/7/2018,{jpg} I noticed a orange light slowly Moving across the sky. It changed course & dissappeared when I tried to photograph it,"Anna, IL, US",,
,,6:33PM,,,,
34,3/5/2018,3/4/2018,{jpg} Drone like ufos hovering around our neighborhood near ohare airport. 4 to five of them getting as low as the tree tops. All coming from the airport we noticed nothing flying into the airport.,"Chicago, IL, US",,
,,7:00PM,,,,
35,3/1/2018,2/26/2018,Multiple lights and objects in mchenry county,"Union / Woodstock / Cryst, IL, US",,281519753242966.jpeg
,,5:31PM,,,,311519753239344.jpeg
36,1/31/2018,1/30/2018,{td}shiny metal looking and round,"West Union, IL, US",,20180131151241.png
,,12:00AM,,,,
37,1/31/2018,1/31/2018,{td}Hovering transparent triangle shaped object overhead,"Calumet City, IL, US",,20180131135549.mp4
,,2:00PM,,,,
38,1/30/2018,1/6/2018,{dr}My sister happened to see light across the street saw it being strange and started taking pictures.,"Momence, IL, US",,IMG0034.PNG
,,5:11AM,,,,
39,1/30/2018,1/27/2018,"{td}Driving south on I-55 at sunset, saw a dark structured object apparently about cloudheight, hovering to the Southwest.","Hamel, IL, US",,screengrab15170983711531.png
,,12:00AM,,,,
40,1/28/2018,1/28/2018,{dr}{td}Completely silent and never flapped membrane like wings once. Glided over my home unnaturally fast.,"Wilmington, IL, US",,
,,4:36AM,,,,
41,1/26/2018,1/26/2018,"{jpg} Driving down north 2nd, saw object hovering in the sky, at first though it was airplane, followed it and disappeared. Lasted for 10 mins.","Rockford , IL, US",,IMG20401.3gp
,,8:20PM,,,,
42,1/26/2018,1/22/2018,{jpg} Two neon yellow V-shaped objects and two gray disc-shaped objects,"IL, US",,217C908EF682482086E2D077BECB194F.jpeg
,,8:22PM,,,,A751DAA58D79400D845DF33440B2DDAF.jpeg
43,1/25/2018,1/6/2018,{jpg} My sister stood up to get something and looked towards living room and saw lights and started taking pictures.,"Momence, IL, US",,7A8308A880D648338E3EA63FE8AEFD16.jpeg
,,5:11AM,,,,315734E96D9E4E2FA226FFDFC570CC5A.jpeg
,,,,,,621B6D0C153346BF953859B80FD0377A.jpeg
,,,,,,BF036D5A0A314B6CA79617FF4556FF27.jpeg
,,,,,,6F13CFCA12F740E19F59965D55DAA26F.jpeg
,,,,,,73FFDF2B1C0F4C828B58C2A95B1CD46D.jpeg
,,,,,,BA06CAC321BA4D5CBDBFA59A8777EEAB.jpeg
44,1/25/2018,1/6/2018,"{jpg} My sister is up with me in the morning, she happened to look out windowsaw light, and took pictures . She’s never told me right away, it scares her, she’s handicapped and she’s showed me her pictures more recently, So I am sending these photos.","Momence, IL, US",,DCFF9A643AEB409A9F1F1F1C71676B6F.jpeg
,,5:12AM,,,,17110CDB89DC475683DBA08582D4F50D.jpeg
,,,,,,294E2B0B17064A77B1661697B9AC929C.png
,,,,,,9E4425D193774981950D064B69E07F1B.jpeg
,,,,,,0E3B9E5A2C4943AE831F46F81359A43E.jpeg
,,,,,,F269C51EAC6C42D587FB0FE223363C61.jpeg
,,,,,,5D42A50F3C134BB8BEDD526B9E879F5B.jpeg
,,,,,,E189BB2D0ED648F888350764645A7318.jpeg
45,1/21/2018,1/16/2018,"{jpg} falling green object, maybe like a star, that glowed white","chicago, IL, US",,
,,7:43PM,,,,
46,1/18/2018,1/18/2018,{rjl} Found image on Google earthmap located in Chaves County N.M.,"Chicago, IL, US",,ChavesN.M..pdf
,,10:13AM,,,,
47,1/18/2018,1/13/2018,"{rjl} 3 reflective cigar-shaped objects, sudden vertical descent","Cedarville , IL, US",,
,,12:00AM,,,,
48,1/16/2018,1/3/2018,{rjl} I saw a cigar object fly over our building. It had a light at both ends.,"Saint Charles, IL, US",,
,,9:30PM,,,,
1,1/3/2019,11/3/2018,{dr}Three flying orbs,"Winnetka, IL, US",,8BCC76FDF4DB42FCB8A4402A2C523509.MOV
,,6:13PM,,,,
2,12/28/2018,12/23/2018,{tjd} It was hovering and bright,"IL, US",,06886BE4163A4BB088E1860B6AA4ADC7.png
,,4:21PM,,,,9862B24A48744C27A78ED790A187713B.jpeg
,,,,,,14F6EE8F47104762B6F9448BDA1EDDA2.jpeg
,,,,,,CF841F954F3D4A0BA554574355FDC979.png
,,,,,,BCDC8D7940C5466B873D66B09522F0B4.png
3,12/21/2018,11/1/2018,{rjl} Saw ufo on way home. Filmed and witnessed ufo disappear.,"Freeburg, IL, US",,VID20181101200813.mp4
,,7:30PM,,,,
4,12/20/2018,12/4/2018,{rjl} live near Lake Michigan Illinois. I often see orbs of spinning light which sometimes I thought they were planes as planes do fly this area or planets,"Highland Park, IL, US",,D00F1D2D37E24C52810DC9314EF97714.MOV
,,2:30AM,,,,7FE5B341FAB940B293321F911C248280.MOV
,,,,,,6ED7D663D8424C8DA00ED0D5DCDA73D1.MOV
,,,,,,605590563BC14F0B92E7A52C50F66427.MOV
5,12/18/2018,12/17/2018,{rjl} Trianglular craft just above tree level traveling west quite slow into st louis region. Very close to see.,"Collinsville, IL, US",,
,,9:00PM,,,,
6,12/17/2018,12/15/2018,{rjl} Hovering in the direction of Serious,"Carbondale , IL, US",,565788C90AF4494D930C281D7CE8719F.jpeg
,,5:01AM,,,,75CE2E5AFF0747D28D81C6C69DC2BD3B.jpeg
,,,,,,2BEF5005B4134D38913E3D1DC498E447.jpeg
,,,,,,CE0BCC12A86F45378A1461598D8CE573.jpeg
,,,,,,A6061B6E5B704D79A332D0A92BD3D843.jpeg
7,12/15/2018,12/15/2018,"{cak} Dark craft hovered above me, then lights came on and craft started to fly away east.","Yorkville, IL, US",,
,,6:30PM,,,,
8,12/14/2018,12/13/2018,{cak} dark rectangular object moving about 50 miles per hour about 200-300 feet above the ground and completely silent as if coasting.,"Albion, IL, US",,
,,10:45PM,,,,
9,12/12/2018,12/12/2018,{cak} Object appeared in my headlights looking like a giant walking stick with four legs. It went from the one edge of my headlights to the other edge my headlights in less than a second,"St. Jacob, IL, US",,601FB1BBE37646049C35AC60A2A2FC0C.jpeg
,,3:00AM,,,,
10,12/10/2018,12/10/2018,{cak} Bright light rapidly changing direction and altitude for several minutes.,"Princeton, IL, US",,
,,6:15PM,,,,
11,12/2/2018,8/27/2018,"{jpg} My wife heard a vertically descending craft making a load humming noise, stop close above our house, then ascend then gone","Mokena, IL, US",,
,,6:00PM,,,,
12,11/24/2018,11/23/2018,"{rjl} observed stationary? object just east of I-94 at Dundee Rd, 60090 17:15 CT 11/23/18","WHEELING, IL, US",,
,,5:15PM,,,,
13,11/8/2018,10/24/2018,{jpg} I saw what I thought were two bright strs in the southern sky shortly after sunset. ne of them began to move away from the other. It then suddenly blinked out.,"Rockford, IL, US",,
,,6:30AM,,,,
14,11/6/2018,11/3/2018,{jpg} 3 orangish lights in sky hovering and then descending. One or two gave off very large and intermittant trails of sparks like a meteor or comet.,"Evanston, IL, US",,11318EvanstonIL.jpg
,,12:00AM,,,,
15,11/3/2018,11/2/2018,{tjd} Looked like a small round like cloud moving across sky at high speed. No other clouds were moving. Not a windy day.,"Poplar Grove, IL, US",,
,,1:15PM,,,,
16,10/26/2018,8/24/2018,{cak} Took 3 different videos of lights I couldn’t explain what they were!!,"Claremont, IL, US",,A9D8DEDCE6F348EE8F45E600040CF4D6.MOV
,,12:00AM,,,,9142BAD48720443EA58CCF99890A115F.MOV
,,,,,,298B70F4DAFC4B41980493C3C5EE4696.MOV
,,,,,,88001673745443048CF153FDB838BA4F.jpeg
17,10/21/2018,10/14/2018,{cak} Orbs in the sky not man made they disappear suddenly,"Blue Island, IL, US",,B54586AAAD0A4D58A25EAF542F80A6F4.MOV
,,6:59PM,,,,80699976ED3B4F9DA911552640247FC9.jpeg
,,,,,,728E3823466941B2B03281F013B03D39.MOV
18,10/14/2018,10/14/2018,{rjl} The light was above the clouds. It was not a nearby business light. It was not an airplane.,"Maywood , IL, US",,20181014201939.mp4
,,8:19PM,,,,20181014201829.mp4
19,10/3/2018,9/21/2018,{jpg} Pulsating Orange Orb No Sound,"Olney, IL, US",,received246616642667597.mp4
,,7:30PM,,,,
20,9/26/2018,9/25/2018,"{dr}Looked like a star! But starting moving from stationary, short crappy video. Ps not a satellite I’ve seen them","Chicago , IL, US",,2B020304DBA344649D39DC5445DBB44D.MOV
,,8:17PM,,,,
21,9/24/2018,9/22/2018,{dr}driving down 157 thu casyville il after 4pm saturday 22nd,"casyville, IL, US",,01aaaufo3.jpg
,,4:25PM,,,,01aaufo2.jpg
,,,,,,01aufo.jpg
22,9/23/2018,9/23/2018,"{dr}6 objects, seemed way aboce 25.000 ft, flew east to west, hovered for awhile then North","Northbrook, IL, US",,94E482F7A08948D1A6F1A45915B2A88B.jpeg
,,12:00AM,,,,
23,9/20/2018,9/16/2018,{rjl} Object traveling quickly along a path,"Chicago, IL, US",,
,,8:20PM,,,,
24,9/20/2018,9/19/2018,{rjl} Two large objects side by side pulsating red/white lights hovered. when 1 moved away lights pulsated faster brighter. One went E the other SE,"IL, US",,
,,6:19AM,,,,
25,9/19/2018,9/16/2018,{rjl} Green,"Skokie, IL, US",,Greenstoplight.JPG
,,7:40PM,,,,
26,9/18/2018,9/16/2018,{Rjl} Formation of 6 flying lights,"Chicago, IL, US",,UFO.mov
,,11:03AM,,,,
27,9/16/2018,9/14/2018,"{rjl} 7 red-orange orbs in Peoria, IL sky on 9/14/18","IL, US",,
,,9:15PM,,,,
28,9/12/2018,9/12/2018,{cak} Almost vertical lights hovering in the Western sky one or two looked like they were descending.,"North Side of Chicago, IL, US",,
,,5:56AM,,,,
29,9/11/2018,9/11/2018,{cak} 3 bright stationary objects in perfect triangle shape. After 3 min one at a tim just disappeared,"Great Lakes, IL, US",,8FC2D832892845DCBD42E0734A39B0FF.jpeg
,,8:00PM,,,,9CE19FCF016D4157B80D684FDC135D7B.jpeg
,,,,,,E7ED9DD91DCC4C84A2394AAC4BEEF03B.jpeg
30,9/11/2018,9/11/2018,"{cak} White disc above treeline, descended and then faded away.","St. Charles, IL, US",,
,,12:20PM,,,,
31,8/30/2018,8/10/2018,{td} Two red lights thar hovered over sameness area. One released small white orbs that disappeared and then they just faded after about 30 minutes,"Tinley Park, IL, US",,AB4F559413F94D118C0D26D953A04255.jpeg
,,9:58PM,,,,8A0654877BD14D12ADF9CDDFAB78B776.jpeg
,,,,,,CB5CFD3ABA3E4CEF9F01CEA4DED64A21.jpeg
,,,,,,2F4823D73B694D55A9D2F6CC3F922B01.jpeg
32,8/26/2018,8/25/2018,{td} Object moved to the left slowly then descended quickly then ascended quickly and disappeared,"Pekin, IL, US",,
,,8:43PM,,,,
33,8/20/2018,8/17/2018,"{rjl} Seen dark mass in Pic then white line showed up,orbs near sun and black orbs on left in one Pic","IL, US",,0817180813HDR.jpg
,,8:20AM,,,,0817180814HDR.jpg
,,,,,,0817180814aHDR.jpg
34,8/17/2018,8/3/2018,"{cak} Bright object, no pulsation Followed optically, glide through space W to E...then just disappeared. Close to MDW definitely not a plane.","tiley park, IL, US",,
,,12:00AM,,,,
35,8/14/2018,7/20/2018,{cak} sitting looking east-viewing planes coming to O'Hare-noticed object-then viewed it excel up with great speed -then vanish,"norridge, IL, US",,
,,12:00AM,,,,
36,8/14/2018,8/13/2018,{cak} Black pulsating boomerang came from Over the trees covered and left slowly,"Glen Carbon, IL, US",,
,,8:57PM,,,,
37,8/13/2018,8/11/2018,{cak} I was in my back yard seen this thing for second with my mother.now i filmed it,"Chicago , IL, US",,20180811203843.mp4
,,10:30PM,,,,
38,8/12/2018,8/12/2018,{cak} It was a cigar-shaped craft with two dim lights on either end. Appeared to be as large as a cruise ship,"Godfrey, IL, US",,
,,2:10AM,,,,
39,8/11/2018,8/10/2018,{jpg} Two pulsating lights. One Shot what looked like beams at the other. Disappeared then the other left,"Mokena, IL, US",,A19B668FFA694284A05D5BEB0DF79472.MOV
,,11:28PM,,,,
40,8/11/2018,8/8/2018,{jpg} Bright ball of light was floating just a bright light it stopped then when trying to get a picture of wouldn't show up on camera then it slowly floated off,"Shelbyville , IL, US",,20180806211032.jpg
,,12:00AM,,,,20180806211031.jpg
,,,,,,20180806211027.jpg
,,,,,,20180806211026.jpg
41,8/9/2018,8/9/2018,"{jpg} While driving 1 mile from residence, 16 year old son with wife observed object flashing red and green lights. It appeared to be flying too low for it to be aircraft. This area calls for aircraft to be at least 3000 feet.","Marion, IL, US",,13298E1D70834167BFDD77DF5042C23C.MOV
,,12:00AM,,,,
42,7/25/2018,7/24/2018,{cak} observed two hovering objects in opposite directions from home (USAF Retired),"Maryville, IL, US",,
,,12:00AM,,,,
43,7/22/2018,7/21/2018,"{cak} Object moving what appeared to be 1,000mph at around 45-60 miles in the sky. 90degree turn, stopped immediately for a brief second, then looped in a circle gaining speed, then disappeared.","Rochester , IL, US",,
,,1:00AM,,,,
44,7/22/2018,7/17/2018,"{cak} Seen object in the sky, hear noise, seen object go over trees","Brookport, IL, US",,
,,10:40PM,,,,
45,7/22/2018,7/17/2018,"{cak} Me & my gf observe bright light in sky, that came down from sky lights then went out it came down hovering 25 feet from ground no sound a spacecraft then took with swish sound","Brookport, IL, US",,
,,10:40PM,,,,
46,7/8/2018,7/8/2018,{jpg} Yellow-White light hovers in different locations,"IL, US",,
,,12:00AM,,,,
47,7/8/2018,7/8/2018,{jpg} White green bright lights traveling south,"Chicago, IL, US",,
,,8:44PM,,,,
48,7/8/2018,7/8/2018,"{jpg} Green fireball almost parallel to horizon. Slight arc, sputtering neon-green trail. Object emitting trail too small to observe.","Wood Dale, IL, US",,
,,8:50PM,,,,
49,7/8/2018,7/8/2018,{jpg} Green-white light passed overhead,"IL, US",,
,,8:40PM,,,,
1,12/24/2018,12/24/2018,"{tjd} During sunset, was in the clouds.","Jonesboro, AR, US",,E29ADB6C29824FC79E41202C3933CEEF.png
,,5:00PM,,,,
2,12/24/2018,12/23/2018,{tjd} Notice it hovering in air grab phone it took ok,"Romance , AR, US",,5FD4A8E604C24246A713639E4F009241.MOV
,,10:15AM,,,,6A650AE720554ECD8003570B44DA1052.png
,,,,,,E39A721EB59847D68E6604AA254A9671.png
3,12/17/2018,12/17/2018,{rjl} What Was That?,"Pine Bluff, AR, US",,Whatwasthat3F.mp4
,,4:43PM,,,,
4,12/16/2018,12/16/2018,{rjl} Outside with brother in-law. Spotted triangular craft moving west and got my bro to look in time to see too. It just zOomed by silent.,"Fort Smith, AR, US",,
,,7:38PM,,,,
5,11/29/2018,11/27/2018,{tjd} I went out to smoke at five in the morning and saw a big bright star and began taking photographs it turned out to be something else,"Alexander , AR, US",,IMG1658.JPG
,,5:45AM,,,,IMG1657.JPG
,,,,,,IMG1616.JPG
,,,,,,IMG1595.JPG
,,,,,,IMG1591.JPG
6,11/27/2018,11/26/2018,Observed UFO Over Little Rock Arkansas,"Little Rock, AR, US",,20181126173410.mp4
,,5:35PM,,,,20181126173540.mp4
7,10/29/2018,10/27/2018,"{tjd} Looked up in sky and thought airplane, but it wasn't moving and observed for maybe 10 minutes.","Hot Springs, AR, US",,20181027191720.jpg
,,7:15PM,,,,20181027192001.jpg
,,,,,,20181027192004.jpg
,,,,,,20181027192009.jpg
,,,,,,20181029112217839073236507494.mp4
8,10/20/2018,10/17/2018,{rjl} Bright orb of light at end of a visible light beam from above,"Little Rock, AR, US",,20181017T011123BackDoorMotionMissed.mp4
,,11:30PM,,,,
9,10/19/2018,10/18/2018,{rjl} Took Photos of Sun did not realize I had capture an event 2 Photos show movement!,"Hot Springs, AR, US",,B4FE6DAD446D4FE2957C7FDAC76A2F75.jpeg
,,4:21PM,,,,6E335240A4C847728DABFC68A9C04E9C.jpeg
10,10/11/2018,10/11/2018,"{tjd} Emitted reflection, changed altitude, and position.","Searcy, AR, US",,20181011141440.jpg
,,2:00PM,,,,20181011141831.jpg
,,,,,,20181011142822.jpg
,,,,,,20181011143150.jpg
,,,,,,20181011143157.jpg
11,9/29/2018,9/28/2018,{dr}Noticed a black spherical UFO,"Pine Bluff, AR, US",,20180929124446rmscr.jpg
,,6:15PM,,,,20180929124246.jpg
,,,,,,20180929124446rmscr.jpg
,,,,,,20180929124455rmscr.jpg
12,9/20/2018,9/12/2018,{rjl} Me and my fiance observed a huge stationary ufo while traveling to work the night of the 12th.,"Waldron, AR, US",,
,,8:20PM,,,,
13,9/19/2018,9/9/2018,{rjl} Bright light caught on game camera high in tree line,"Hot Springs Village, AR, US",,STC0001.JPG
,,11:21PM,,,,STC0002.JPG
,,,,,,STC0003.JPG
,,,,,,STC0066.JPG
14,9/7/2018,9/7/2018,{jpg} Bright Light appered in corn fields saw aliens get out of UFO,"AR, US",,
,,7:34AM,,,,
15,9/5/2018,9/4/2018,{jpg} Countless small orbs of various sizes throughout the sky. Some dim some bright.,"Pearcy, AR, US",,
,,1:00AM,,,,
16,9/3/2018,9/3/2018,{jpg} saw an object that was same color and size of a star but was moving,"Fort Smith, AR, US",,
,,5:50AM,,,,
17,8/19/2018,8/18/2018,{rjl} Bright light then gone,"Lincoln, AR, US",,
,,9:00PM,,,,
18,8/14/2018,8/10/2018,{cak} Four or five lights took formation in a straight line,"Lockesburg , AR, US",,
,,11:28PM,,,,
19,8/6/2018,8/6/2018,{jpg} Above an almost out forest fire,"Fort Smith, AR, US",,D3423349E60B45F7B92C6BDDC42BB002.png
,,1:00AM,,,,0FB7447B4A6447D99425B16B31E4D9E2.png
,,,,,,0C8C000FA04F4F4EAA5CB9F96EB5BB8B.png
20,8/5/2018,8/4/2018,{jpg} Star like shape that ascended into sky,"Lowell, AR, US",,
,,11:05PM,,,,
21,7/31/2018,7/31/2018,{rjl} ISS live feed screen shot of a redish-orange sphere.,"AR, US",,ISSSCREENSHOT201807311500hrsGMTLAT356SLON528WALT415km.png
,,10:00AM,,,,
22,7/6/2018,7/6/2018,{dr}Pulsating light active in southern sky,"Norman, AR, US",,DSCN2886.JPG
,,12:00AM,,,,DSCN2925.JPG
,,,,,,DSCN2898.JPG
,,,,,,DSCN2918.MOV
23,6/15/2018,6/6/2018,{cak} Orbs with,"Vilonia, AR, US",,Screenshot20180607172828VideoPlayer.jpg
,,10:00PM,,,,Screenshot20180607172902VideoPlayer.jpg
,,,,,,Screenshot20180607172957VideoPlayer.jpg
,,,,,,Screenshot20180607173018VideoPlayer.jpg
24,6/7/2018,6/6/2018,{jpg} Non blinking amber orb at great distance traveling I. Straight line the next totally disappeared. Was same size in night sky as jupiter,"Bella Vista, AR, US",,
,,12:00AM,,,,
25,6/5/2018,6/4/2018,{jpg} Huge stationary very bright light in sky. 4 helicopters flying low in the area,"Springdale, AR, US",,
,,10:15PM,,,,
26,5/25/2018,4/16/2018,{rjl} Bright light observed in western sky. It swung leaf-like. At one point it emitted a corona of small lights leaving a dark center.,"Bella Vista, AR, US",,
,,10:10PM,,,,
27,5/24/2018,5/23/2018,"{rjl} Traveling south bound down interstate, I caught sight of something out of the corner of my eye. At my first instinct it may have been a plane but kept glancingly in the direction and saw that it was not a plane or helicopter.","Trumann, AR, US",,
,,9:20AM,,,,
28,5/19/2018,5/19/2018,"{cak} Object Stationary, flashing Red, and Green with constant Blue/White Lights","AR, US",,
,,12:00AM,,,,
29,4/20/2018,4/20/2018,"{cak} hovering golden cylinder shaped light that hovered then would shoot upward and disappear, then reappear. at one point saw a bright flash of light near the ground","Ozark, AR, US",,
,,2:30AM,,,,
30,4/18/2018,1/3/2018,"{cak} just got finished at the doctor and was watching the helicopter that was fixing to take off and decided to document it, very arranged things appeared in the photos and video","Gravette, AR, US",,Screenshot20180415150303.png
,,12:00AM,,,,IMAG0764.jpg
,,,,,,IMAG07611.jpg
,,,,,,VIDEO0041.mp4
,,,,,,IMAG0757.jpg
31,4/18/2018,2/9/2018,"{cak} I was driving to Siloam Springs with my kids and I look out the window and seen this gold glowing object transforming in the sky, it was beautiful","Siloam springs, AR, US",,Screenshot20180415150849.png
,,12:00AM,,,,Screenshot20180415150844.png
32,4/18/2018,1/5/2018,"{cak} made several observations, the one here was moving in the back of my yard I said wait don't go and it stopped and transformed in front of me. Silent no sound and then filled tree line to sewer plant where it turned red and faded to dark in trees.","Decatur, AR, US",,Screenshot20171109124430.png
,,12:00AM,,,,Screenshot20171109124353.png
,,,,,,Screenshot20171109124345.png
,,,,,,Screenshot20180415151006.png
33,4/16/2018,4/16/2018,{cak} object moved slow and eratic across the sky not a satillite nor plane,"Rogers/Little Flock, AR, US",,
,,9:20PM,,,,
34,4/1/2018,1/29/2018,{jpg} Mufon file 91139 additional image of white cylinders,"Farmington , AR, US",,551418D22AF54116A5144DD813224F1D.jpeg
,,10:42AM,,,,10AB009BA6324A458EF29FFFA1623035.jpeg
35,3/31/2018,1/29/2018,"{td} While Piloting aircraft at 10,000 ft observed two separate contrails emitted in pulses from 2 small blunt highly reflective cylindrical objects","Farmington , AR, US",,EC3A1745C4774F348B8B541FB023AEDC.jpeg
,,10:29AM,,,,
36,3/25/2018,3/24/2018,{td} green ball of light,"Alma, AR, US",,
,,12:00AM,,,,
37,3/13/2018,3/11/2018,"{cak} We recorded this event and the night before, same object different directions each night.","Rogers, AR, US",,UFO.MOV
,,8:15PM,,,,UFO2.mov
38,2/27/2018,2/26/2018,{td}I saw a cylinder shaped object flying straight followed by 5 spheres with no flight path,"West Fork, AR, US",,
,,4:00PM,,,,
39,2/12/2018,2/8/2018,"{cak} Near Mena Arkansas, dark object in night sky","Mena, AR, US",,
,,8:34PM,,,,
40,2/12/2018,1/25/2018,"{cak} OBJECT HOVERED OVER RESIDENTIAL AREA THEN CROSSED ROAD, STAYED LOW, AND FOLLOWED ALONGSIDE MY CAR FOR 1-2 MINUTES BEFORE DISAPPEARING. SEEN AGAIN 5 MINUTES LATER HOVERING HIGH ABOVE ELECTRICAL TOWERS","FAYETTEVILLE, AR, US",,
,,10:05PM,,,,
41,2/11/2018,2/8/2018,"{cak} Near Mena Arkansas, triangular shape object blocking starlight","Mena, AR, US",,
,,8:35PM,,,,
42,2/8/2018,2/8/2018,{jpg} Spotted triangular object with 3 lights in night sky.,"Mena, AR, US",,
,,8:30PM,,,,
43,1/29/2018,1/24/2018,{dr}Very bright light stationery for 20 minuets,"Fayetteviĺle, AR, US",,20180124111930.mp4
,,11:03AM,,,,20180124140726.jpg
44,1/28/2018,1/28/2018,"{dr}I saw a large,silent, slow moving triangular aircraft with three lights and a red pulsating light in the middle.","Tyronza , AR, US",,
,,2:52AM,,,,
45,1/24/2018,1/24/2018,{jpg} Witnessed The Same Object Again on the 23 January 2018 - What is it?,"Pine Bluff, AR, US",,WIN20180124185235Pro.mp4
,,6:05PM,,,,
46,1/23/2018,1/23/2018,{jpg} Object Moved Slowly Than Hovered,"Pine Bluff, AR, US",,WIN20180123164327Pro.mp4
,,3:05AM,,,,WIN20180123164213Pro.mp4
47,1/22/2018,1/22/2018,{jpg} Bright reflective UFO,"Arkadelphia , AR, US",,
,,11:42AM,,,,
1,1/11/2019,1/16/2018,{cak} Object was being transported out of area and very heavily guarded by several government vehicles and every law enforcement in the area.,"Woodward , OK, US",,
,,12:00AM,,,,
2,6/27/2018,6/27/2018,{td} Ufo triangle,"Mannford, OK, US",,
,,5:00AM,,,,
3,6/21/2018,6/21/2018,{rjl} sitting in front yard partly cloudy skies clear visibility black dot traveling east to west,"McAlester, OK, US",,
,,4:42PM,,,,
